"","MAE","model","competition","openA","openB","seed","N","P"
"63",0.170357979783428,"kms","Women_Rx_2017","open1 ","open3 ",54321,7354,5
"64",0.123221882872604,"polyreg","Women_Rx_2017","open1 ","open3 ",54321,7354,5
"65",0.117798133742371,"kms","Women_Rx_2017","open1 ","open4 ",54321,9373,5
"66",0.122690090750219,"polyreg","Women_Rx_2017","open1 ","open4 ",54321,9373,5
"67",0.185206999471401,"kms","Women_Rx_2017","open1 ","open5 ",54321,8597,5
"68",0.129444182412834,"polyreg","Women_Rx_2017","open1 ","open5 ",54321,8597,5
"69",0.171566839569907,"kms","Women_Rx_2017","open2 ","open3 ",54321,7222,5
"70",0.140444481968325,"polyreg","Women_Rx_2017","open2 ","open3 ",54321,7222,5
"71",0.19029455064636,"kms","Women_Rx_2017","open2 ","open4 ",54321,8725,5
"72",0.115022845755911,"polyreg","Women_Rx_2017","open2 ","open4 ",54321,8725,5
"73",0.190033539904256,"kms","Women_Rx_2017","open2 ","open5 ",54321,8069,5
"74",0.126052343459534,"polyreg","Women_Rx_2017","open2 ","open5 ",54321,8069,5
"75",0.159071690953923,"kms","Women_Rx_2017","open3 ","open4 ",54321,6966,5
"76",0.111320271210571,"polyreg","Women_Rx_2017","open3 ","open4 ",54321,6966,5
"77",0.154611521681641,"kms","Women_Rx_2017","open3 ","open5 ",54321,6574,5
"78",0.112659179530039,"polyreg","Women_Rx_2017","open3 ","open5 ",54321,6574,5
"79",0.190057185228342,"kms","Women_Rx_2017","open4 ","open5 ",54321,8380,5
"80",0.114533917556377,"polyreg","Women_Rx_2017","open4 ","open5 ",54321,8380,5
